Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Wednesday,1/1/2014,2014,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,200,200,200,200,100,100,100,100,100,100
Thursday,1/2/2014,2014,1,0,3.67,3.4,32.4,7,0,0,2,100,100,100,96.33,100,96.6,200,167.6,200,193,100,100,100,100,100,98
Friday,1/3/2014,2014,1,8,4,4.4,50.6,16,0,20,4,100,92,96.33,92.33,96.6,92.2,167.6,117,193,177,100,100,100,80,98,94
Saturday,1/4/2014,2014,1,2,1,6.5,61.85,10,0,9,1,92,90,92.33,91.33,92.2,85.7,117,55.15,177,167,100,100,80,71,94,93
Sunday,1/5/2014,2014,1,4,3,7,41.1,8,0,3,0,90,86,91.33,88.33,85.7,78.7,394.15,353.05,167,159,100,100,71,68,93,93
Monday,1/6/2014,2014,1,5,1,4.5,21.7,16,2,6,2,86,81,88.33,87.33,78.7,74.2,353.05,331.35,159,143,100,98,68,62,93,91
Tuesday,1/7/2014,2014,1,0,0,0,0,0,0,0,0,81,81,87.33,87.33,74.2,74.2,331.35,331.35,143,143,98,98,62,62,91,91
Wednesday,1/8/2014,2014,1,5.33,3,10.5,26.4,19,1,10,0,81,75.67,87.33,84.33,74.2,63.7,331.35,304.95,143,124,98,97,62,52,91,91
Thursday,1/9/2014,2014,1,7,1.68,8,25,16,0,3,2,75.67,68.67,84.33,82.65,63.7,55.7,304.95,279.95,124,108,97,97,52,49,91,89
Friday,1/10/2014,2014,1,5,2,2,53.3,15,2,0,2,68.67,63.67,82.65,80.65,55.7,53.7,279.95,226.65,108,93,97,95,49,49,89,87
Saturday,1/11/2014,2014,1,5,4.34,10.4,52.3,14,0,1,0.2,63.67,58.67,80.65,76.31,53.7,43.3,226.65,174.35,93,79,95,95,49,48,87,86.8
Sunday,1/12/2014,2014,1,2,0.66,2.5,12,8,0,1,1,58.67,56.67,76.31,75.65,107.3,104.8,561.35,549.35,203,195,95,95,48,47,86.8,85.8
Monday,1/13/2014,2014,1,7.34,7.66,6.2,52,9,0,7,1,56.67,49.33,75.65,67.99,104.8,98.6,549.35,497.35,195,186,95,95,47,40,85.8,84.8
Tuesday,1/14/2014,2014,1,6,1.33,12.3,33.7,6,1,0,2,49.33,43.33,67.99,66.66,98.6,86.3,497.35,463.65,186,180,95,94,40,40,84.8,82.8
Wednesday,1/15/2014,2014,1,4,2.34,5,26.7,12,2,3,3,43.33,39.33,66.66,64.32,86.3,81.3,463.65,436.95,180,168,94,92,40,37,82.8,79.8
Thursday,1/16/2014,2014,1,6,2,4.3,28.3,19,1,5,0,39.33,33.33,64.32,62.32,81.3,77,436.95,408.65,168,149,92,91,37,32,79.8,79.8
Friday,1/17/2014,2014,1,2,3.68,8.3,20.4,15,0,6,3,33.33,31.33,62.32,58.64,77,68.7,408.65,388.25,149,134,91,91,32,26,79.8,76.8
Saturday,1/18/2014,2014,1,1,5.33,5.8,43.2,15,4,7,2,31.33,30.33,58.64,53.31,68.7,62.9,388.25,345.05,134,119,91,87,26,19,76.8,74.8
Sunday,1/19/2014,2014,1,4.33,4,4,14.1,4,0,1,1,69.33,65,53.31,49.31,62.9,58.9,345.05,330.95,119,115,87,87,67,66,74.8,73.8
